113,0.0175
0.0000,0.4200,0.0275
0.0598,0.4157,0.0275
0.1183,0.4030,0.0275
0.1745,0.3820,0.0275
0.2271,0.3533,0.0275
0.2750,0.3174,0.0275
0.3174,0.2750,0.0275
0.3533,0.2271,0.0275
0.3820,0.1745,0.0275
0.4030,0.1183,0.0275
0.4157,0.0598,0.0275
0.4200,0.0000,0.0275
0.4157,-0.0598,0.0275
0.4030,-0.1183,0.0275
0.3820,-0.1745,0.0275
0.3533,-0.2271,0.0275
0.3174,-0.2750,0.0275
0.2750,-0.3174,0.0275
0.2271,-0.3533,0.0275
0.1745,-0.3820,0.0275
0.1183,-0.4030,0.0275
0.0598,-0.4157,0.0275
0.0000,-0.4200,0.0275
-0.0598,-0.4157,0.0275
-0.1183,-0.4030,0.0275
-0.1745,-0.3820,0.0275
-0.2271,-0.3533,0.0275
-0.2750,-0.3174,0.0275
-0.3174,-0.2750,0.0275
-0.3533,-0.2271,0.0275
-0.3820,-0.1745,0.0275
-0.4030,-0.1183,0.0275
-0.4157,-0.0598,0.0275
-0.4200,0.0000,0.0275
-0.4157,0.0598,0.0275
-0.4030,0.1183,0.0275
-0.3820,0.1745,0.0275
-0.3533,0.2271,0.0275
-0.3174,0.2750,0.0275
-0.2750,0.3174,0.0275
-0.2271,0.3533,0.0275
-0.1745,0.3820,0.0275
-0.1183,0.4030,0.0275
-0.0598,0.4157,0.0275
0.0000,0.3600,0.0275
0.0593,0.3551,0.0275
0.1169,0.3405,0.0275
0.1713,0.3166,0.0275
0.2211,0.2841,0.0275
0.2649,0.2438,0.0275
0.3014,0.1969,0.0275
0.3297,0.1446,0.0275
0.3490,0.0884,0.0275
0.3588,0.0297,0.0275
0.3588,-0.0297,0.0275
0.3490,-0.0884,0.0275
0.3297,-0.1446,0.0275
0.3014,-0.1969,0.0275
0.2649,-0.2438,0.0275
0.2211,-0.2841,0.0275
0.1713,-0.3166,0.0275
0.1169,-0.3405,0.0275
0.0593,-0.3551,0.0275
0.0000,-0.3600,0.0275
-0.0593,-0.3551,0.0275
-0.1169,-0.3405,0.0275
-0.1713,-0.3166,0.0275
-0.2211,-0.2841,0.0275
-0.2649,-0.2438,0.0275
-0.3014,-0.1969,0.0275
-0.3297,-0.1446,0.0275
-0.3490,-0.0884,0.0275
-0.3588,-0.0297,0.0275
-0.3588,0.0297,0.0275
-0.3490,0.0884,0.0275
-0.3297,0.1446,0.0275
-0.3014,0.1969,0.0275
-0.2649,0.2438,0.0275
-0.2211,0.2841,0.0275
-0.1713,0.3166,0.0275
-0.1169,0.3405,0.0275
-0.0593,0.3551,0.0275
0.0000,0.3000,0.0275
0.0604,0.2939,0.0275
0.1183,0.2757,0.0275
0.1714,0.2462,0.0275
0.2174,0.2067,0.0275
0.2546,0.1587,0.0275
0.2813,0.1042,0.0275
0.2965,0.0454,0.0275
0.2996,-0.0152,0.0275
0.2904,-0.0752,0.0275
0.2693,-0.1321,0.0275
0.2372,-0.1836,0.0275
0.1954,-0.2276,0.0275
0.1456,-0.2623,0.0275
0.0898,-0.2862,0.0275
0.0304,-0.2985,0.0275
-0.0304,-0.2985,0.0275
-0.0898,-0.2862,0.0275
-0.1456,-0.2623,0.0275
-0.1954,-0.2276,0.0275
-0.2372,-0.1836,0.0275
-0.2693,-0.1321,0.0275
-0.2904,-0.0752,0.0275
-0.2996,-0.0152,0.0275
-0.2965,0.0454,0.0275
-0.2813,0.1042,0.0275
-0.2546,0.1587,0.0275
-0.2174,0.2067,0.0275
-0.1714,0.2462,0.0275
-0.1183,0.2757,0.0275
-0.0604,0.2939,0.0275
