26,0.0175
0.0000,0.4000,0.0175
0.1000,0.3900,0.0175
0.1900,0.3600,0.0175
0.2700,0.3000,0.0175
0.3300,0.2300,0.0175
0.3800,0.1400,0.0175
0.4000,0.0500,0.0175
0.4000,-0.0500,0.0175
0.3800,-0.1500,0.0175
0.3300,-0.2300,0.0175
0.2700,-0.3000,0.0175
0.1900,-0.3600,0.0175
0.0900,-0.3900,0.0175
-0.0000,-0.4000,0.0175
-0.1000,-0.3900,0.0175
-0.1900,-0.3600,0.0175
-0.2700,-0.3000,0.0175
-0.3300,-0.2300,0.0175
-0.3800,-0.1400,0.0175
-0.4000,-0.0500,0.0175
-0.4000,0.0500,0.0175
-0.3800,0.1500,0.0175
-0.3300,0.2300,0.0175
-0.2700,0.3000,0.0175
-0.1900,0.3600,0.0175
-0.0900,0.3900,0.0175
