61,0.0175
0.0000,0.4050,0.0375
0.0969,0.3932,0.0375
0.1882,0.3586,0.0375
0.2686,0.3031,0.0375
0.3333,0.2301,0.0375
0.3787,0.1436,0.0375
0.4020,0.0488,0.0375
0.4020,-0.0488,0.0375
0.3787,-0.1436,0.0375
0.3333,-0.2301,0.0375
0.2686,-0.3031,0.0375
0.1882,-0.3586,0.0375
0.0969,-0.3932,0.0375
0.0000,-0.4050,0.0375
-0.0969,-0.3932,0.0375
-0.1882,-0.3586,0.0375
-0.2686,-0.3031,0.0375
-0.3333,-0.2301,0.0375
-0.3787,-0.1436,0.0375
-0.4020,-0.0488,0.0375
-0.4020,0.0488,0.0375
-0.3787,0.1436,0.0375
-0.3333,0.2301,0.0375
-0.2686,0.3031,0.0375
-0.1882,0.3586,0.0375
-0.0969,0.3932,0.0375
0.0000,0.3080,0.0375
0.0908,0.2943,0.0375
0.1735,0.2545,0.0375
0.2408,0.1920,0.0375
0.2867,0.1125,0.0375
0.3071,0.0230,0.0375
0.3003,-0.0685,0.0375
0.2667,-0.1540,0.0375
0.2095,-0.2258,0.0375
0.1336,-0.2775,0.0375
0.0459,-0.3046,0.0375
-0.0459,-0.3046,0.0375
-0.1336,-0.2775,0.0375
-0.2095,-0.2258,0.0375
-0.2667,-0.1540,0.0375
-0.3003,-0.0685,0.0375
-0.3071,0.0230,0.0375
-0.2867,0.1125,0.0375
-0.2408,0.1920,0.0375
-0.1735,0.2545,0.0375
-0.0908,0.2943,0.0375
0.0000,0.2110,0.0375
0.0915,0.1901,0.0375
0.1650,0.1316,0.0375
0.2057,0.0470,0.0375
0.2057,-0.0470,0.0375
0.1650,-0.1316,0.0375
0.0915,-0.1901,0.0375
0.0000,-0.2110,0.0375
-0.0915,-0.1901,0.0375
-0.1650,-0.1316,0.0375
-0.2057,-0.0470,0.0375
-0.2057,0.0470,0.0375
-0.1650,0.1316,0.0375
-0.0915,0.1901,0.0375
