72,0.0175
-0.1298,0.3994,0.0175
-0.0657,0.4148,0.0175
0.0000,0.4200,0.0175
0.0657,0.4148,0.0175
0.1298,0.3994,0.0175
0.1907,0.3742,0.0175
0.2469,0.3398,0.0175
0.2970,0.2970,0.0175
0.3398,0.2469,0.0175
0.3742,0.1907,0.0175
0.3994,0.1298,0.0175
0.4148,0.0657,0.0175
0.4200,0.0000,0.0175
0.4148,-0.0657,0.0175
0.3994,-0.1298,0.0175
0.3742,-0.1907,0.0175
0.3398,-0.2469,0.0175
0.2970,-0.2970,0.0175
0.2469,-0.3398,0.0175
0.1907,-0.3742,0.0175
0.1298,-0.3994,0.0175
0.0657,-0.4148,0.0175
0.0000,-0.4200,0.0175
-0.0657,-0.4148,0.0175
-0.1298,-0.3994,0.0175
-0.1907,-0.3742,0.0175
-0.2469,-0.3398,0.0175
-0.2970,-0.2970,0.0175
-0.3398,-0.2469,0.0175
-0.3742,-0.1907,0.0175
-0.3994,-0.1298,0.0175
-0.4148,-0.0657,0.0175
-0.4200,-0.0000,0.0175
-0.4148,0.0657,0.0175
-0.3994,0.1298,0.0175
-0.3742,0.1907,0.0175
-0.3398,0.2469,0.0175
-0.2970,0.2970,0.0175
-0.2469,0.3398,0.0175
-0.1907,0.3742,0.0175
0.0000,0.3275,0.0175
0.2316,0.2316,0.0175
0.3275,0.0000,0.0175
0.2316,-0.2316,0.0175
0.0000,-0.3275,0.0175
-0.2316,-0.2316,0.0175
-0.3275,-0.0000,0.0175
-0.2316,0.2316,0.0175
0.0000,0.2650,0.0175
0.1874,0.1874,0.0175
0.2650,0.0000,0.0175
0.1874,-0.1874,0.0175
0.0000,-0.2650,0.0175
-0.1874,-0.1874,0.0175
-0.2650,-0.0000,0.0175
-0.1874,0.1874,0.0175
0.0000,0.2025,0.0175
0.1432,0.1432,0.0175
0.2025,0.0000,0.0175
0.1432,-0.1432,0.0175
0.0000,-0.2025,0.0175
-0.1432,-0.1432,0.0175
-0.2025,-0.0000,0.0175
-0.1432,0.1432,0.0175
0.0000,0.1400,0.0175
0.0990,0.0990,0.0175
0.1400,0.0000,0.0175
0.0990,-0.0990,0.0175
0.0000,-0.1400,0.0175
-0.0990,-0.0990,0.0175
-0.1400,0.0000,0.0175
-0.0990,0.0990,0.0175
